Nr.           Re            Im
0 -8.9159403320881392e-01 4.7804672826707813e-02
1 -7.2194563107474727e-02 6.4445273979129150e-02
2 8.6001577635862980e-01 5.3378393690399463e-02
3 1.0049540304112328e+00 3.3532545071557744e-03
4 -5.4958787722623881e-01 8.2211131452447878e-02
5 4.9474126903798127e-01 8.4436923558024513e-02
6 -9.8028843572458690e-01 2.3221863040844969e-02
7 -3.1956875798125922e-01 8.6999612636091295e-02
8 7.0002861398743654e-01 7.2378639534923531e-02
9 9.6395860045245074e-01 2.9642217760997631e-02
10 -7.4475391345595521e-01 6.8189294358218688e-02
11 2.5860912302191003e-01 8.5960632088481148e-02
12 -9.4367395603589366e-01 3.5902537104027209e-02
13 -1.9695049328074091e-01 8.3300997495042814e-02
14 7.8644156426994472e-01 6.3603854626646264e-02
15 9.9259556160803730e-01 1.6676581486763764e-02
16 -6.5245500323587680e-01 7.6137293221021168e-02
17 3.7945482169279338e-01 8.6944151761185778e-02
18 -1.0008288288402176e+00 1.0041814904872664e-02
19 -4.3794207919374706e-01 8.6043781993953100e-02
20 6.0223595001415386e-01 7.9428441678699405e-02
21 9.1951890261573377e-01 4.1968111922743308e-02
22 -8.2491599655299641e-01 5.8655842355888790e-02
23 1.3496818662392801e-01 7.7666920257734931e-02
24 -9.1951890261573377e-01 4.1968111922743308e-02
25 -1.3496818662392801e-01 7.7666920257734931e-02
26 8.2491599655299641e-01 5.8655842355888790e-02
27 1.0008288288402176e+00 1.0041814904872664e-02
28 -6.0223595001415386e-01 7.9428441678699405e-02
29 4.3794207919374706e-01 8.6043781993953100e-02
30 -9.9259556160803730e-01 1.6676581486763764e-02
31 -3.7945482169279338e-01 8.6944151761185778e-02
32 6.5245500323587680e-01 7.6137293221021168e-02
33 9.4367395603589366e-01 3.5902537104027209e-02
34 -7.8644156426994472e-01 6.3603854626646264e-02
35 1.9695049328074091e-01 8.3300997495042814e-02
36 -9.6395860045245074e-01 2.9642217760997631e-02
37 -2.5860912302191003e-01 8.5960632088481148e-02
38 7.4475391345595521e-01 6.8189294358218688e-02
39 9.8028843572458690e-01 2.3221863040844969e-02
40 -7.0002861398743654e-01 7.2378639534923531e-02
41 3.1956875798125922e-01 8.6999612636091295e-02
42 -1.0049540304112328e+00 3.3532545071557744e-03
43 -4.9474126903798127e-01 8.4436923558024513e-02
44 5.4958787722623881e-01 8.2211131452447878e-02
45 8.9159403320881392e-01 4.7804672826707813e-02
46 -8.6001577635862980e-01 5.3378393690399463e-02
47 7.2194563107474727e-02 6.4445273979129150e-02
48 7.2194563107474727e-02 -6.4445273979129150e-02
49 -8.6001577635862980e-01 -5.3378393690399463e-02
50 8.9159403320881392e-01 -4.7804672826707813e-02
51 5.4958787722623881e-01 -8.2211131452447878e-02
52 -4.9474126903798127e-01 -8.4436923558024513e-02
53 -1.0049540304112328e+00 -3.3532545071557744e-03
54 3.1956875798125922e-01 -8.6999612636091295e-02
55 -7.0002861398743654e-01 -7.2378639534923531e-02
56 9.8028843572458690e-01 -2.3221863040844969e-02
57 7.4475391345595521e-01 -6.8189294358218688e-02
58 -2.5860912302191003e-01 -8.5960632088481148e-02
59 -9.6395860045245074e-01 -2.9642217760997631e-02
60 1.9695049328074091e-01 -8.3300997495042814e-02
61 -7.8644156426994472e-01 -6.3603854626646264e-02
62 9.4367395603589366e-01 -3.5902537104027209e-02
63 6.5245500323587680e-01 -7.6137293221021168e-02
64 -3.7945482169279338e-01 -8.6944151761185778e-02
65 -9.9259556160803730e-01 -1.6676581486763764e-02
66 4.3794207919374706e-01 -8.6043781993953100e-02
67 -6.0223595001415386e-01 -7.9428441678699405e-02
68 1.0008288288402176e+00 -1.0041814904872664e-02
69 8.2491599655299641e-01 -5.8655842355888790e-02
70 -1.3496818662392801e-01 -7.7666920257734931e-02
71 -9.1951890261573377e-01 -4.1968111922743308e-02
72 1.3496818662392801e-01 -7.7666920257734931e-02
73 -8.2491599655299641e-01 -5.8655842355888790e-02
74 9.1951890261573377e-01 -4.1968111922743308e-02
75 6.0223595001415386e-01 -7.9428441678699405e-02
76 -4.3794207919374706e-01 -8.6043781993953100e-02
77 -1.0008288288402176e+00 -1.0041814904872664e-02
78 3.7945482169279338e-01 -8.6944151761185778e-02
79 -6.5245500323587680e-01 -7.6137293221021168e-02
80 9.9259556160803730e-01 -1.6676581486763764e-02
81 7.8644156426994472e-01 -6.3603854626646264e-02
82 -1.9695049328074091e-01 -8.3300997495042814e-02
83 -9.4367395603589366e-01 -3.5902537104027209e-02
84 2.5860912302191003e-01 -8.5960632088481148e-02
85 -7.4475391345595521e-01 -6.8189294358218688e-02
86 9.6395860045245074e-01 -2.9642217760997631e-02
87 7.0002861398743654e-01 -7.2378639534923531e-02
88 -3.1956875798125922e-01 -8.6999612636091295e-02
89 -9.8028843572458690e-01 -2.3221863040844969e-02
90 4.9474126903798127e-01 -8.4436923558024513e-02
91 -5.4958787722623881e-01 -8.2211131452447878e-02
92 1.0049540304112328e+00 -3.3532545071557744e-03
93 8.6001577635862980e-01 -5.3378393690399463e-02
94 -7.2194563107474727e-02 -6.4445273979129150e-02
95 -8.9159403320881392e-01 -4.7804672826707813e-02
