Nr.           Re            Im
0 -8.9098604765327671e-01 4.5074023389346268e-02
1 -7.0521755425263163e-02 6.0986181422472217e-02
2 8.5940433190103771e-01 5.0319968469774365e-02
3 1.0043512422763268e+00 3.1636826180314933e-03
4 -5.4886289787580045e-01 7.7329052278625937e-02
5 4.9397115089376387e-01 7.9385556139429547e-02
6 -9.7968537134226641e-01 2.1906208061652683e-02
7 -3.1854163755834597e-01 8.1675780066108220e-02
8 6.9938103374781302e-01 6.8159933702328160e-02
9 9.6335510933106017e-01 2.7960365396897370e-02
10 -7.4412011327798677e-01 6.4234828280787096e-02
11 2.5742534856994170e-01 8.0679880062335896e-02
12 -9.4306964853078168e-01 3.3861735312366539e-02
13 -1.9555476022692905e-01 7.8209886572080278e-02
14 7.8581782322697336e-01 5.9931944976320019e-02
15 9.9199268902477511e-01 1.5732777929054854e-02
16 -6.5178876086130810e-01 7.1674463081838988e-02
17 3.7854117416401190e-01 8.1660806016135512e-02
18 -1.0002260243442995e+00 9.4739108135040214e-03
19 -4.3711111468617142e-01 8.0856014824308473e-02
20 6.0154461274290694e-01 7.4743652461674512e-02
21 9.1891318465105021e-01 3.9577188890777028e-02
22 -8.2429947903305645e-01 5.5283143607108863e-02
23 1.3332587028590551e-01 7.3063488817650540e-02
24 -9.1891318465105021e-01 3.9577188890777028e-02
25 -1.3332587028590551e-01 7.3063488817650540e-02
26 8.2429947903305645e-01 5.5283143607108863e-02
27 1.0002260243442995e+00 9.4739108135040214e-03
28 -6.0154461274290694e-01 7.4743652461674512e-02
29 4.3711111468617142e-01 8.0856014824308473e-02
30 -9.9199268902477511e-01 1.5732777929054854e-02
31 -3.7854117416401190e-01 8.1660806016135512e-02
32 6.5178876086130810e-01 7.1674463081838988e-02
33 9.4306964853078168e-01 3.3861735312366539e-02
34 -7.8581782322697336e-01 5.9931944976320019e-02
35 1.9555476022692905e-01 7.8209886572080278e-02
36 -9.6335510933106017e-01 2.7960365396897370e-02
37 -2.5742534856994170e-01 8.0679880062335896e-02
38 7.4412011327798677e-01 6.4234828280787096e-02
39 9.7968537134226641e-01 2.1906208061652683e-02
40 -6.9938103374781302e-01 6.8159933702328160e-02
41 3.1854163755834597e-01 8.1675780066108220e-02
42 -1.0043512422763268e+00 3.1636826180314933e-03
43 -4.9397115089376387e-01 7.9385556139429547e-02
44 5.4886289787580045e-01 7.7329052278625937e-02
45 8.9098604765327671e-01 4.5074023389346268e-02
46 -8.5940433190103771e-01 5.0319968469774365e-02
47 7.0521755425263163e-02 6.0986181422472217e-02
48 7.0521755425263163e-02 -6.0986181422472217e-02
49 -8.5940433190103771e-01 -5.0319968469774365e-02
50 8.9098604765327671e-01 -4.5074023389346268e-02
51 5.4886289787580045e-01 -7.7329052278625937e-02
52 -4.9397115089376387e-01 -7.9385556139429547e-02
53 -1.0043512422763268e+00 -3.1636826180314933e-03
54 3.1854163755834597e-01 -8.1675780066108220e-02
55 -6.9938103374781302e-01 -6.8159933702328160e-02
56 9.7968537134226641e-01 -2.1906208061652683e-02
57 7.4412011327798677e-01 -6.4234828280787096e-02
58 -2.5742534856994170e-01 -8.0679880062335896e-02
59 -9.6335510933106017e-01 -2.7960365396897370e-02
60 1.9555476022692905e-01 -7.8209886572080278e-02
61 -7.8581782322697336e-01 -5.9931944976320019e-02
62 9.4306964853078168e-01 -3.3861735312366539e-02
63 6.5178876086130810e-01 -7.1674463081838988e-02
64 -3.7854117416401190e-01 -8.1660806016135512e-02
65 -9.9199268902477511e-01 -1.5732777929054854e-02
66 4.3711111468617142e-01 -8.0856014824308473e-02
67 -6.0154461274290694e-01 -7.4743652461674512e-02
68 1.0002260243442995e+00 -9.4739108135040214e-03
69 8.2429947903305645e-01 -5.5283143607108863e-02
70 -1.3332587028590551e-01 -7.3063488817650540e-02
71 -9.1891318465105021e-01 -3.9577188890777028e-02
72 1.3332587028590551e-01 -7.3063488817650540e-02
73 -8.2429947903305645e-01 -5.5283143607108863e-02
74 9.1891318465105021e-01 -3.9577188890777028e-02
75 6.0154461274290694e-01 -7.4743652461674512e-02
76 -4.3711111468617142e-01 -8.0856014824308473e-02
77 -1.0002260243442995e+00 -9.4739108135040214e-03
78 3.7854117416401190e-01 -8.1660806016135512e-02
79 -6.5178876086130810e-01 -7.1674463081838988e-02
80 9.9199268902477511e-01 -1.5732777929054854e-02
81 7.8581782322697336e-01 -5.9931944976320019e-02
82 -1.9555476022692905e-01 -7.8209886572080278e-02
83 -9.4306964853078168e-01 -3.3861735312366539e-02
84 2.5742534856994170e-01 -8.0679880062335896e-02
85 -7.4412011327798677e-01 -6.4234828280787096e-02
86 9.6335510933106017e-01 -2.7960365396897370e-02
87 6.9938103374781302e-01 -6.8159933702328160e-02
88 -3.1854163755834597e-01 -8.1675780066108220e-02
89 -9.7968537134226641e-01 -2.1906208061652683e-02
90 4.9397115089376387e-01 -7.9385556139429547e-02
91 -5.4886289787580045e-01 -7.7329052278625937e-02
92 1.0043512422763268e+00 -3.1636826180314933e-03
93 8.5940433190103771e-01 -5.0319968469774365e-02
94 -7.0521755425263163e-02 -6.0986181422472217e-02
95 -8.9098604765327671e-01 -4.5074023389346268e-02
